REF;MERCADO;ZONA;HECTÁREAS; PRECIO;INFORMACIÓN;USO SUELO;USOSUELOCAT;LEGAL;PROPIEDAD;SERVICIOS;UBICACIÓN;LONGITUD;LATITUD
T573;EM-Polotitlán;San Antonio Escobedo;344;400;Frente a la carretera 55, Palmillas - Toluca en el Km 126 y otro frente de 120 m con el km 146 de la Autopista de cuota 57, México - Laredo.;Industria Mediana no contaminante;Industrial;Escrituras;Privada;Agua, luz, barda perimetral;https://maps.app.goo.gl/xNPdY6gVBnZzNuYw8;-103.22908;20.43892
T350/261;Qro;Galeras;113;620;A pie de carretera 200. Parque Industrias al frente. ;Industria pesada;Industrial;35% con titulo de propiedad inscrito en Registro Publico. 65% restante se encuentra en Certificado Parcelario. Libre de Gravámenes y limitaciones de dominio.;Privada;Agua, luz;https://maps.app.goo.gl/tF4Td2n7ptJM4n7Z6;-103.22867;20.43922
T378;EM;Nextlalpan;120;1600; Acceso directo al Circuito Exterior Mexiquense, 10 km del AIFA. Son varios polígonos continuos, se pueden vender desde 5 hasta 120 Hectárea. A 900 m del T-Mex Park, el HUB logístico e industrial más grande de América Latina. AEROPUERTO DE CARGA, 2 LÍNEAS FÉRREAS, 5 AUTOPISTAS.;Industrial;Industrial;Escritura pública;Privada;Todos los servicios a pie de terreno;https://maps.app.goo.gl/frQZLezkEhzAJzHm9;-99.57764;19.17494
T378;EM;Nextlalpan;120;2100; Acceso directo al Circuito Exterior Mexiquense, 10 km del AIFA. Son varios polígonos continuos, se pueden vender desde 5 hasta 120 Hectárea. A 900 m del T-Mex Park, el HUB logístico e industrial más grande de América Latina. AEROPUERTO DE CARGA, 2 LÍNEAS FÉRREAS, 5 AUTOPISTAS.;Industrial;Industrial;Escritura pública;Privada;Todos los servicios a pie de terreno;https://maps.app.goo.gl/frQZLezkEhzAJzHm9;-99.57764;19.17494
T301;Tij;Paso del Aguila;5.3;68;Frente en carretera;Industrial;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/YhoVdGvFSGskapqR9;-100.12878;20.63097
T211;Jua;Ciudad Juarez;5.32;70;Terreno Industrial El Salado Ubicación: Carretera Juárez Porvenir. Riveras del Bravo. Uso de suelo industrial colindando con zona habitacional social. Mano de obra calificada en el sector. Vesta acaba de comprar 90 ha en la zona. Libramiento Juarez porvenir se acaba de poner y corre en la esquina. Empresas coreanas también llegando. ;Industrial;Industrial;Escrituras;Privada;Ninguno;https://goo.gl/maps/W5kRCNSxnYz7yceo7;-100.12911;20.62953
T412;Jalisco;Tlajomulco de Zuñiga;6;3600;Carretera a Chapala y carretera a El Salto, a 10km del salto;Industrial;Industrial;Escrituras;Privada;Agua, luz, drenaje;https://maps.app.goo.gl/WCYbThYsX4hEk33N6;-99.14069;19.75664
T413;Jalisco;Tlaquepaque;6.1;1700;Las Liebres, Tlaquepaque, cerca de Prologis El Salto;Industrial;Industrial;Escrituras;Privada;Todos los servicios a pie de terreno;https://maps.app.goo.gl/V7XfKzQVccwRU1ab9;-99.70039;19.37128
T414;Jalisco;Ixtlahuacán de los Membrillos;6.15;1500;Muy cerca de la carretera Gdl-Chapala;Industrial;Industrial;Escrituras;Privada;Ya con servicios;https://maps.app.goo.gl/amstW9YRCqBeWY9N6;-100.04547;20.76361
T575;EM-Teoloyucan ;San Sebastián;8;1800;"Sobre Av Lumbreras que conecta acceso a Autopista Mex-Qro. Por la entada de Jugos
del Valle y Castores";Industrial;Industrial;Escrituras;Privada;Todos los serivicios;https://maps.app.goo.gl/uzZiSg8XESLMgX7D6;-99.12533;19.76272
T421;Jalisco;Ixtlahuacán;10;450;Av Acueducto, Ixtlahuacán de Los Membrillos;Industrial;Industrial;Escrituras;Privada;Tienen Agua y Luz;https://maps.app.goo.gl/XXxaYshwyEFZcH1cA;-116.83372;32.47344
T464;Qro;Parque Pyme;10.5;400;Sobre la carretera 431 en enfrente del Parque Pyme;Industrial;Industrial;Escrituras;Privada;Luz, agua y gas a pie de carretera;https://maps.app.goo.gl/R6o7tpiKGrDQmS2A8;-99.71478;19.40875
T541;EM;Teoloyucan;10.54;3898.32;Carretera a Tepozotlán a lado de parque Prologis;Industrial;Industrial;Escrituras;Privada;Factible todos los servicios;https://maps.app.goo.gl/6Ph42T316tgzuUDW6;-103.17756;20.35586
T425;Jalisco;Tlajomulco de Zuñiga;15;1500;Sobre la carretera a San Isidro Mazatpec enfrente de Pisa;Industrial;Industrial;Escrituras;Privada;A pie de carretera;https://maps.app.goo.gl/JMugQqXYQcqvHMx48;-100.25414;20.53172
T521;Qro;Mompaní;15;1150;Sobre Paseo Querétaro;Industrial;Industrial;Escrituras;Privada;Factibles todos los servicios;https://maps.app.goo.gl/fWiUWuYvprVbR9id7;-99.22367;19.74369
T387;Qro;Norponiente Tlacote;15;1200;Viene con propuesta de sembrado de parque;Industrial;Industrial;Escrituras;Privada;factible todos los servicios;https://maps.app.goo.gl/RkSGxhn8zUYZfX4p6;-100.35336;20.66822
T427;Jalisco;Buenavista;18;950;Sobre la carretera Chapala-Gdl en Buenavista;Industrial;Industrial;Escrituras;Privada;Luz, pozo de agua ;https://maps.app.goo.gl/WQs41Q56RMinGvVe8;-103.21061;20.4455
T162;Qro;Los Cues;18.5;400;157 mts de frente a carretera. En Los Cues Huimilpan, de 18.5 hectáreas en $74,000,000. de pesos o 10.5 hectáreas en $42,000,000. de pesos, frente al Parque Industrial PYME y a 7 minutos de la Carretera México - Querétaro. ;Industrial;Industrial;Escrituras;Privada;Pozo de agua;https://maps.app.goo.gl/9TwkpczmkbPdJUiB8;-99.05111;19.75342
T443;Tij;El Florido;23.67; 55 USD ;Polígono disponible. A un lado de un parque industrial por el bvld 2000;Industrial;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/HACVzoeas9SuiivAA;-100.45925;20.59175
T182;Tij;Toyota;24; 125 USD ;Frente a la Toyota.;Industrial;Industrial;Escrituras;Privada;Luz y agua a pie de terreno;https://maps.app.goo.gl/7qsMqpPaND3SSfUV7;-103.56456;20.49275
T432;Jalisco;Tlajomulco de Zuñiga;25;2200;Prol Juarez, muy cerca del Circuito Metropolitano;Industrial;Industrial;Escrituras;Privada; Agua ;https://maps.app.goo.gl/FNU2jaT1Lqy4P9D37;-100.48517;20.67283
T296;Tij;El Niño;37; 60 USD ;Col. Valle Redondo, accesos : santa María, Carretera Tecate, Villa del alamo, Ojo de agua;Industrial;Industrial;Escrituras;Privada;Agua. Factibilidad electricidad y gas.;https://maps.app.goo.gl/6krkEC4Kv1JWdGNa8;-100.48531;20.67244
T434;Jalisco;Tlajomulco de Zuñiga;38;2500;Sobre la carretera Gdl-Colima;Industrial;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/nnmApUrVJBVHgNy69;-115.49775;32.57719
T212;Jua;Ciudad Juarez;39.9; 45 USD ;Ubicación privilegiada para Parque Industrial – FUNDADORES. Uso de suelo industrial en el Ejido Zaragoza. Muy cerca del Puente Internacional Zaragoza – Ysleta. 399,772.43 m². ;Industrial;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/BhmPVDjA41FeUUSL7;-115.36419;32.61867
T562;EM-Cuautitlán;Jaltenco/Zumpango;43;100;Sobre la carretera Cuatitlán-Zumpango, enfrente de los Cedis de Ikea y Chedraui;Industrial;Industrial;Escrituras;Privada;Servicios a pie de carretera;https://maps.app.goo.gl/bRe89GS9Mp1FQj3P7;-103.21739;20.37917
T183;Tij;Canon del Sainz;50; 125 USD ;Cañón del Saenz.;Industrial;Industrial;Escrituras;Privada;Todas las factibilidades;https://maps.app.goo.gl/SKGpbynpstPWU81d6;-116.75522;32.52553
T215;Jua;Ciudad Juarez;54.1; 25 USD ;Muy cerca las bodegas de Electrolux y Smart. 541,807 m² Se vende todo o en partes. Se sacó el uso de suelo y probablemente se sube el precio pronto.;Industrial;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/nnmApUrVJBVHgNy69;-115.49775;32.57719
T187;Mex;Mexicali;56;16 USD;Uso de suelo: Industrial;Industrial;Industrial;Escrituras;Privada;Todos servicios;https://www.google.com/maps?q=20.518034,-100.247441&shorturl=1;-100.24744;20.51803
T147;Qro;Aeropuerto;110;140;Acceso por terrecería a carretera 200 (+800 m, con pavimento y después con tepetate) - 110 ha (se pretende vender juntos), atrás del Parque Industrial Aerotech sobre la carretera#200;Industrial;Industrial;Escrituras;Privada;Urbanizado, servicios a pie de carretera;https://maps.app.goo.gl/wnZCxyiS12rQozdg8;-99.059;19.72844
T574;EM-Polotitlán;El Álamo;122.61;73.4;Cerca de la carretera Mex-Qro, a la altura de Polotitlán en los límites con Hidalgo;Industrial;Industrial;Escrituras;Privada;Servicios: agua, luz, drenaje. No factibilidades;https://maps.app.goo.gl/ivTSmLRGcT7HSYZBA?g_st=ic;-116.84392;32.49906
T290;EM;Polotitlan;210;300;Frente a Autopista México Querétaro. El terreno está en tres escrituras, dos escrituras de 100 hectáreas cada una y una escritura de 10 hectáreas.;Industrial;Industrial;Escrituras;Privada;Electricidad;https://goo.gl/maps/ZbETemiE8CNHsXxo9;-116.71772;32.49344
T309;Qro;San Luis de La Paz;0.5 a 26.38; 25 USD ;Frente a la planta del gigante de la cerámica KOHLER (20 hectáreas, inversión: 200 millones de dólares, 1,000 empleados). En Monterrey tienen una planta similar e hicieron un convenio con un desarrolador de bodegas para que se instalaran igual al frente de la planta, se puede negociar lo mismo aquí. Dentro del clúster de cerámica de la zona (Interceramic, Cato, Vitromex). Curvas de nivel hacia la carretera. ;Industrial;Industrial;Escrituras;Privada;Factible todos los servicios;https://maps.app.goo.gl/16zSwxhc4CQ3WTaT9;-103.44858;20.46214
T437;Jalisco;Tlajomulco de Zuñiga;21 a 39;1850;A un lado del Condominio Industrial Santa Cruz;Industrial;Industrial;Escrituras;Privada;Factibilidades Electricidad, Gas Natural, Agua, Fibra Óptica, Disponibilidadv de hasta 2500 kva;https://maps.app.goo.gl/q64YdgA75VAGrm2X6;-100.66289;21.272
T548;EM-Jilopetec;San Pablo Huantepec;41.33 (22.5 + 18.7);1197.61;Sobre carretera Jilotepec-Corrales (dos predios);Industrial;Industrial;Escrituras;Privada;Agua, luz, Telefonia, Drenaje y Gas Natural;https://maps.app.goo.gl/ncgHs8iTEUP2dguK8;-99.14142;19.74986
T454;Qro;Aeropuerto;5 a 20; 95 USD ;"La Puerta, Lotes Industriales Disponibles 5.0 Ha. – 10.0 Ha. – 15.0 Ha. – 20.0 Ha.
PRECIO DE VENTA X M2 $ 95.00 USD";Industrial;Industrial;Escrituras;Privada;luz (subestación), pozo de agua, gas;https://maps.app.goo.gl/CKe9sLQgABMgtHRv5;-100.17322;20.56467
T528;Qro;Tlacote;14.6;1500;Sobre carretera a Tlacote entre Cantabria y Agrogen;Industrial;Industrial;Escrituras ;Privada;Luz;https://maps.app.goo.gl/xZSqnL9nTiCiLri58;-116.79767;32.50236
T175;Qro;Galeras;7.6;650;Acceso de la carretera 100 Bernal-Qro con pequeño tramo de terracería de 10 metros de ancho (ver video) ;Industrial;Industrial;Titulo de propiedad;Privada;Factible todos los servicios;https://maps.app.goo.gl/zAhfYgJgNPARScYW6;-103.50733;20.47125
T330;Tij;El Niño;18;125 USD;Valle redondo, Retorno por la carretera de cuota, plano. Impacto ambiental, mecánica de suelos, ya cuenta con todas las factibilidades. ;Industrial;Industrial;Título de propiedad;Privada;Factibilidad Agua. Es necesario desarrollar infraestructura propia para factibilidad de CFE;https://goo.gl/maps/Pba13QkP9Vi6YMug6;-106.33392;31.57517
T236;Jua;Ciudad Juarez;40; 20 a 30 USD ;En San Jerónimo, al este, cerca del cruce internacional con Nuevo México, acceso por Libramiento San Jerónimo y Camino de Anapra.;Industrial;Industrial;Título de propiedad;Privada;Ninguno;https://maps.app.goo.gl/PdNg335gA1yNg2G56;-106.68797;31.75922
T238;Jua;Ciudad Juarez;59.8; 45 USD ;Precio muy negociable, 4-5 Kms de terracería en línea recta. Ver mapas y fotos de acceso por Blvd. Independencia  y Ave Manuel Talamas Kamandari.;Industrial;Industrial;Título de propiedad;Privada;Luz trifásica y pozo de agua;https://maps.app.goo.gl/NbgcPzAMtssPDyq66;-99.13064;19.74364
T235;Jua;Ciudad Juarez;20 a 60; 20 USD ;acceso por Carretera Panamericana y Libramiento San Jerónimo de Juárez, Chih., La opción dos tiene poco frente a carretera, porque no venden todo el frente, pero el acceso esta pavimentado en una calle  privada, En esa dos hay varias opciones de ubicación dentro de una gran extensión, solo viendo, Los polígonos grandes tienen frente, pero angosto, y no te venden todo el frente, Así es, y el dueño no da más información hasta tener al interesado enfrente pero sí puede ofrecer varias opciones. ;Industrial;Industrial;Título de propiedad;Privada;A 1.5 km de zona industrial, pasan Torres de Alta tensión de CFE sobre el terreno ;https://maps.app.goo.gl/zXuYGmPHKUufCwtZ6;-116.71553;32.52725
T220;Jua;Ciudad Juarez;50 a 240; 60 USD ;Se pueden vender fracciones de 50 has, cuenta con agua de pozo, electricidad por líneas de transmisión cerca de la propiedad, Propiedad privada de mayor extensión. Son varios polígonos, se requiere visita al sitio para definir ubicación exacta.;Industrial;Industrial;Título de propiedad;Privada;Ninguno;https://goo.gl/maps/59b15uWrcXna6Cgd7;-116.94586;32.44356
T512;Qro;Chichimequillas;5.9;1388;Sobre la carretera 500 ;Industrial    ;Industrial;Título de propiedad;Privada;Factibilidad de CFE y Agua;https://goo.gl/maps/Eu5fg7t1HV768Pt9A;-106.40961;31.57511
T436;Jalisco;Zaplotlanejo;80;185;Frente al Puente de calderon, a pie de carretera Zapotlanejo-Tepatitlán;Industrial (en proceso);Industrial;Escrituras;Privada;Factibilidad en tramite de CFE, factibilidad en tramite de CESPTE;https://goo.gl/maps/kcmNdePK5rSpXfLG8;-116.70361;32.52803
T552;EM-Toluca;San Antonio de la Isla;6.4;2000;San Antonio La Isla atrás de Bimbo y bodega 3B, con acceso directo a la carretera Toluca-Tenango;Industrial (IPN);Industrial;Escrituras;Privada;Ninguno;https://goo.gl/maps/GaozeFjmLLNo2ZNeA;-115.55431;32.63567
T294;Tij;El Florido;9.22; 120 USD ;4.1 y 5.12 hectáreas (son dos terrenos juntos). Accesos: están a 3 minutos del bulevar 2000, a 15 minutos de la carretera tecate. ;Industrial (ya para un terreno y el otro por tramitar);Industrial;Título de propiedad ambos;Privada;Ninguno;https://maps.app.goo.gl/2BnxumMyLqNpoEEz5;-106.39253;31.52933
T452;Tij;Blv 2000;6; 40 USD ;En este boulevard se están asentando varios parques industriales ;Industrial autorizado ;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/NJsNCKU3tjfGtqMe9;-99.20856;19.74286
T415;Jalisco;Ixtlahuacán;6.17;1542.5;Carretera Antigua a la Capilla a 1.4 km de la carretera a Chapala ;Industrial bajo impacto;Industrial;Escrituras;Privada;Luz y agua;https://maps.app.goo.gl/j8dRUFwDwwrcNs4Y7;-103.0095;20.67108
T439;Jalisco;El Salto ;10.7;1300;Sobre carretera a la Capilla y antiguo camino al Salto;Industrial de bajo impacto;Industrial;Escrituras;Privada;Ninguno;https://goo.gl/maps/bTX9XNHty2skyYms5;-100.44364;20.83131
T407;Jalisco;Ixtlahuacán de los Membrillos;5.26;1600;Carretera a la Capilla;Industrial de bajo impacto;Industrial;Título de propiedad;Privada;Agua y luz cerca;https://maps.app.goo.gl/4Vcqwz34s6Wq1rLF6;-100.16719;20.63769
T372;EM;Nextlalpan;11;1500;Se Vende Completo, Con Refrendo, Transformador, Líneas de alta tensión, Conexiones y Vías De Comunicación: Zumpango (15 Min.), Nextlalpan (10 Min.), AIFA (12 Min.), Mex-Pachuca (12 Min.), Circ. Ext. Mexiquense, Carr. Federal México - Pachuca, Circ. Carretero Arco Norte;Industrial factible;Pendiente de cambio;Escrituras;Privada;factible todos los servicios;https://maps.app.goo.gl/Sn4zEtJcXezWuPUC7;-100.13311;20.60147
T453;Tij;Paso del Aguila;45; 15 USD ;Parque Industrial Bajío a 1.5kms, La Planta Toyota Baja Calif a 5 kms, Zonas industriales antiguas de Tecate 1.5 Kms, Nuevo Parque Industrial ATISA (Frente a Toyota) Nueva Planta AMAZON a 10 kms -  Planta DART a 5 Kms (Única nave industrial sobre misma carretera) - Juzgados de Tecate 1.6 Kms - Fraccionamiento Villas del Campo 35,000 habitantes 4 kms CARRETERA CUOTA TIJUANA TECATE ZONA METROPOLITANA DE TIJUANA CAÑADA DEL AGUILA TECATE B.C. Se anexa deslinde topográfico para exactitud) en un terreno con topografía mixta de un 60%de lomeríos suaves con zonas planas semiplanas cruzando la carretera en la parte. Otros putos importantes a destacar son las Garitas - Garita de Otay Tijuana se encuentra a unos 22 Kms prácticamente en línea recta sin trafico el 70% del camino - Nueva Garita Tijuana #3 (En construcción) a nos 16 Kms - Garita de Tecate a 12 Kms aprx. baja al sur del predio en medio kilómetro aproximadamente.  ;Industrial factible;Pendiente de cambio;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/Kd1ZnVwtf9FKFA268;-99.09286;19.71878
T556;EM-Toluca;Otzolotepec;5;1700;Sobre Av Toluca en el Parque Toluca 2000;Industrial grande no contaminante;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/ZZz24kWuh77NK2Ki8;-99.78203;20.21194
T555;EM-Toluca;El Dorado;9.8;2000;Sobre carretera Toluca-Ixtlahuaca de Rayón, junto a planta Genomma Lab;Industrial grande no contaminante;Industrial;Escrituras;Privada;Servicios, agua, Luz, fibra óptica, gas natural. Líneas de alta tensión dos torres están dentro de la propiedad. ;https://maps.app.goo.gl/P4ya2vwkXrqnQVsm8;-100.14544;20.60769
T553;EM-Toluca;Las Misiones;5.2;2800;Sobre carretera Toluca-Xonacatlan a un costado del Parque Industrial 2000;Industrial grande no contaminante;Industrial;Título de propiedad (ya se puede escriturar);Privada;Ninguno;https://maps.app.goo.gl/FgxeCrHa7MnEiXAc6;-99.86436;20.26669
T554;EM-Toluca;Ejido Almoloya de Juárez;8;1200;Sobre campo de beisbol, muy cerca de la carretera Toluca-Atlacomulco;Industrial grande no contaminante;Industrial;Título de propiedad ejidal;Privada;Factibilidad de luz, agua y drenaje. Pegado a parque industrial AeroTech;https://maps.app.goo.gl/xjb5QMSYUyULy1nQ8;-100.14475;20.61672
T315;Qro;Galeras;130; $400 a $800 según superficie ;A pie de carretera 200. A 5 minutos del aeropuerto.;Industrial ligera y pesada, mediante protocolización.;Industrial;Escrituras;Privada;Luz (720 kvas), gas natural, teléfono;https://maps.app.goo.gl/vNJopZGRjkg3CGpS8;-99.91589;20.25436
T547;EM-Zumpango;Nextlalpan;8.6;1700;Sobre carretera 35 a 1km del Circuito Exterior Mexiquense, a 10 min del AIFA;Industrial no contaminante    ;Industrial;Escrituras;Privada;Por la propiedad pasan ductos de Pemex útiles para construcción de planta de cogeneración de electricidad.;https://maps.app.goo.gl/A9Rs42cCu14zzDcM6;-99.14358;19.7575
T124;Qro;Colón / Bernal;8.3;530;En Colón por PRETTL HOME APPLIANCE SOLUTIONS, Carretera Estatal 110 Ajuchitlan-Colon-Toliman 8950, Los Quiotes, 76282 Colón, Qro;Industrial y comercial;Industrial;Escrituras;Privada;Factibilidad de todos los servicios (Agua, Luz, Drenaje). Pozo de agua potable con 50,000 m 3, Actual y factibilidad de 1,500,000 m3.;https://maps.app.goo.gl/XXVd5D6653Mbp3uZA;-100.04186;20.67467
T390;Qro;Galeras;300;350;Pegado a Parque industrial AeroTech, Al lado del aeropuerto, forma irregular como L. El drenaje pasa por la carretera.;Industrial y habitacional;Industrial;Escrituras;Privada;Ya con factibilidades de Servicios de Electricidad (1.2 MW disponibles) en la zona, Gas Natural, Agua, Fibra Óptica;https://maps.app.goo.gl/dCAFxmYGaKvgfmfMA;-100.66736;21.27172
T561;EM-Nextlalpan;AIFA;19;1500;Sobre carretera Teoloyucan-Jaltocan enfrente de TMEX Park;Industrial, Logística y Transporte pesado;Industrial;Escrituras;Privada;Ninguno;https://maps.app.goo.gl/MZJkZnCRH6tBbhqH8;-100.42961;20.85358
T169;Qro;San Isidro de la Corregidora;50 a 138;500;138 hectáreas (2 predios 50 ha y 89 ha). Tiene el juicio de la adjudicación y certificado ante notaria. Está en los límites de Querétaro y Guanajuato.;Según lote: industrial, comercial, habitacional;Industrial;Titulo de propiedad;Privada;Ninguno;https://maps.app.goo.gl/nukq354pLcXyrEDt8 ;-106.47561;31.50336
T389;Qro;Agropark;1310;450;2 frentes sobre la carretera 100 de 4 carriles, Cerca de Agropark, 103 hectáreas con Estudio fotovoltaico ;Según lotes: Industrial, comercial, servicios, agrícola, ganadero;Industrial;Titulo de propiedad;Privada;Todos los servicios;https://maps.app.goo.gl/oTuUNFaUpk77sNrMA;-103.50811;20.47231
T543;EM-Zumpango;Ranchería Buenavista;5.6;1200;Rancho el triángulo, Km. 8.5 Carretera Reyes-Zumpango, Ranchería Buenavista, a 200m de la carretera. ;Tiene permisos para usarse tanto para zona residencial, fraccionamiento, industrial, comercial o agrícola;Industrial;Título de propiedad;Privada;Luz (subestación), agua;https://maps.app.goo.gl/h3eh6wpNUJ6m4dM68;-99.47856;19.96622
T304;Mex;Mexicali;15.8;15 USD;;VIVIENDA, AGRICOLA E INDUSTRIAL;Industrial;Escrituras;Privada;Todos;https://maps.app.goo.gl/9HCygc7vX6xLfj859;-100.22317;20.62433
T302;Mex;Mexicali;15;9 USD;COLONIA AHUMADA;VIVIENDA, AGRÍCOLA, INDUSTRIAL;Industrial;Escrituras;Privada;Luz, agua y drenaje;https://goo.gl/maps/dy6vkPuEjJfmK3E46;-100.43939;20.38603
T303;Mex;Mexicali;18;8 USD;COLONIA AHUMADA;VIVIENDA, AGRÍCOLA, INDUSTRIAL;Industrial;Escrituras;Ejidal;Agua de pozo. Electricidad cerca de la propiedad.;https://goo.gl/maps/SSgZh7C5k4VmbUJJA;-106.43769;31.63856
